model,output_dim,fold,seed,n_train,n_val,val_R2,val_spearman_rho,val_RMSE,val_NLL,test_R2,test_spearman_rho,test_RMSE,test_NLL
ConcatMLP-d64,64,0,42,16108,2372,0.0,,1.7744216918945312,1.9936387538909912,-0.0018391609191894531,,2.1724114418029785,2.226024866104126
ConcatMLP-d64,64,1,43,16253,2227,-1.0371208190917969e-05,,1.8189486265182495,2.01721453666687,-0.0016484260559082031,,2.1722047328948975,2.2285122871398926
ConcatMLP-d64,64,2,44,16159,2321,-0.0010896921157836914,,1.761879324913025,1.9868006706237793,-0.0024433135986328125,,2.1730663776397705,2.2278645038604736
ConcatMLP-d64,64,3,45,16211,2269,-0.00019443035125732422,,1.7566771507263184,1.984217643737793,-0.0023325681686401367,,2.1729464530944824,2.227076768875122
ConcatMLP-d64,64,4,50,16102,2378,-1.990795135498047e-05,,1.7538952827453613,1.9826782941818237,-0.002355337142944336,,2.17297101020813,2.2275147438049316
ConcatMLP-d128,128,0,42,16108,2372,-0.0007021427154541016,,1.775044560432434,1.9936926364898682,-0.004172682762145996,,2.1749401092529297,2.2293894290924072
ConcatMLP-d128,128,1,43,16253,2227,-4.839897155761719e-05,,1.8189831972122192,2.0172572135925293,-0.0014047622680664062,,2.171940326690674,2.227407455444336
ConcatMLP-d128,128,2,44,16159,2321,-0.0003883838653564453,,1.7612621784210205,1.9866629838943481,-0.0014928579330444336,,2.1720359325408936,2.226236343383789
ConcatMLP-d128,128,3,45,16211,2269,-0.00033223628997802734,,1.756798267364502,1.9842734336853027,-0.0026797056198120117,,2.1733226776123047,2.227355480194092
ConcatMLP-d128,128,4,50,16102,2378,-1.0609626770019531e-05,,1.7538870573043823,1.9832046031951904,-0.0024515390396118164,,2.1730751991271973,2.2252440452575684
ConcatMLP-d256,256,0,42,16108,2372,-3.1828880310058594e-05,,1.7744498252868652,1.9934147596359253,-0.0022600889205932617,,2.172867774963379,2.227796792984009
ConcatMLP-d256,256,1,43,16253,2227,-7.11679458618164e-05,,1.819003939628601,2.0172278881073,-0.0025382041931152344,,2.1731691360473633,2.2306461334228516
ConcatMLP-d256,256,2,44,16159,2321,-0.001270294189453125,,1.7620383501052856,1.9871102571487427,-0.002658843994140625,,2.17330002784729,2.2268409729003906
ConcatMLP-d256,256,3,45,16211,2269,-7.152557373046875e-06,,1.7565126419067383,1.983996033668518,-0.0015347003936767578,,2.172081470489502,2.227184772491455
ConcatMLP-d256,256,4,50,16102,2378,-0.00020194053649902344,,1.7540547847747803,1.9828970432281494,-0.0016525983810424805,,2.1722092628479004,2.2263894081115723
